"","candidate","district","borough","votes","party","olpr.winner"
"Write-In1296","BENJAMIN KELEN","6","New York County",2,"Write-In1296",0
"Write-In1297","BENJAMIN KEPECS","6","New York County",1,"Write-In1297",0
"Write-In1298","BEREL SOLOVEICHIK","6","New York County",1,"Write-In1298",0
"Write-In1299","BILL ACKMAN","6","New York County",1,"Write-In1299",0
"Write-In13","BRANDI BILLINGS","8","New York County",1,"Write-In13",0
"Write-In1300","BILL CLINTON","6","New York County",1,"Write-In1300",0
"Write-In1301","BILL SCHUETTE","6","New York County",1,"Write-In1301",0
"Write-In1302","BILL SHORT","6","New York County",1,"Write-In1302",0
"Write-In1303","BILLY CALVERT","6","New York County",1,"Write-In1303",0
"Write-In1304","BLAGOVEST PETKOV","6","New York County",2,"Write-In1304",0
"Write-In1305","BOB BARNETT","6","New York County",1,"Write-In1305",0
"Write-In1306","BOB GENIS","6","New York County",1,"Write-In1306",0
"Write-In1307","BOB PARKER","6","New York County",1,"Write-In1307",0
"Write-In1308","BONI GENG","6","New York County",1,"Write-In1308",0
"Write-In1309","BORIS PARK","6","New York County",1,"Write-In1309",0
"Write-In1310","BRAD LANDER","6","New York County",4,"Write-In1310",0
"Write-In1311","BRAM KERWIN","6","New York County",1,"Write-In1311",0
"Write-In1312","BRENDAN CASEY","6","New York County",1,"Write-In1312",0
"Write-In1313","BRENDAN SCANLAI","6","New York County",1,"Write-In1313",0
"Write-In1314","BRENT BUTERBAUGH","6","New York County",1,"Write-In1314",0
"Write-In1315","BRENTON KEARLEY","6","New York County",1,"Write-In1315",0
"Write-In1316","BRIAN QULTER","6","New York County",1,"Write-In1316",0
"Write-In1317","BRIAN YU","6","New York County",1,"Write-In1317",0
"Write-In1318","BRIDGET GRANLEY","6","New York County",1,"Write-In1318",0
"Write-In1319","BRITNEY SPEARS","6","New York County",1,"Write-In1319",0
"Write-In1320","BRUCE WAYNE","6","New York County",1,"Write-In1320",0
"Write-In1321","BRYCE HUMPHREY","6","New York County",1,"Write-In1321",0
"Write-In1322","CARLOS CHAVIRA","6","New York County",1,"Write-In1322",0
"Write-In1323","CAROL HILFER","6","New York County",1,"Write-In1323",0
"Write-In1324","CAROLE BASKIN","6","New York County",1,"Write-In1324",0
"Write-In1325","CAROLINE MEMNON","6","New York County",1,"Write-In1325",0
"Write-In1326","CARRIE SQURER","6","New York County",1,"Write-In1326",0
"Write-In1327","CAT KELLY","6","New York County",1,"Write-In1327",0
"Write-In1328","CHAICE DWANA","6","New York County",1,"Write-In1328",0
"Write-In1329","CHAIN PILEM","6","New York County",1,"Write-In1329",0
"Write-In1330","CHARLES DITKOFF","6","New York County",1,"Write-In1330",0
"Write-In1331","CHARLES GREENE","6","New York County",1,"Write-In1331",0
"Write-In1332","CHARLES LAIFEN","6","New York County",1,"Write-In1332",0
"Write-In1333","CHARLIE BROWN","6","New York County",1,"Write-In1333",0
"Write-In1334","CHARLIE GROSSLIGHT","6","New York County",1,"Write-In1334",0
"Write-In1335","CHRISTOPHER GLENN","6","New York County",1,"Write-In1335",0
"Write-In1336","CHRISTOPHER VERMON KING","6","New York County",1,"Write-In1336",0
"Write-In1337","CLARISSA ALAYETO","6","New York County",1,"Write-In1337",0
"Write-In1338","CLAVDE EDDO","6","New York County",1,"Write-In1338",0
"Write-In1339","CLYDE LANE","6","New York County",1,"Write-In1339",0
"Write-In1340","COLIN O'DONELL","6","New York County",1,"Write-In1340",0
"Write-In1341","COLLEEN LEE","6","New York County",1,"Write-In1341",0
