"","candidate","district","borough","votes","party","olpr.winner"
"Write-In3514","ELIJAH M BROWN","41","Kings County",2,"Write-In3514",0
"Write-In3515","ERIC L WILLIAMS","41","Kings County",1,"Write-In3515",0
"Write-In3516","GEORGE BUSH","41","Kings County",1,"Write-In3516",0
"Write-In3517","HUMBERTO ALEXSANDER","41","Kings County",1,"Write-In3517",0
"Write-In3518","IMANI DAUSEN","41","Kings County",1,"Write-In3518",0
"Write-In3519","ISIS MCINTOSH","41","Kings County",1,"Write-In3519",0
"Write-In3520","ISIS MCINTOSH GREEN","41","Kings County",1,"Write-In3520",0
"Write-In3521","JACK RICH","41","Kings County",1,"Write-In3521",0
"Write-In3522","JAMELL HENDERSON","41","Kings County",1,"Write-In3522",0
"Write-In3523","JAMES RICHARDSON","41","Kings County",1,"Write-In3523",0
"Write-In3524","JAMES THOMPSON","41","Kings County",1,"Write-In3524",0
"Write-In3525","JANICE PURVIS","41","Kings County",1,"Write-In3525",0
"Write-In3526","JAYLEN SHERMAN ARHER","41","Kings County",1,"Write-In3526",0
"Write-In3527","JEMELL HENDERSON","41","Kings County",3,"Write-In3527",0
"Write-In3528","JENNA BIMBI","41","Kings County",1,"Write-In3528",0
"Write-In3529","JENNIFER GUTIERREZ","41","Kings County",1,"Write-In3529",0
"Write-In3530","JOHANNAH RODAGES","41","Kings County",1,"Write-In3530",0
"Write-In3531","JOHN MASSEY","41","Kings County",1,"Write-In3531",0
"Write-In3532","JOHN PAUL JONAS","41","Kings County",1,"Write-In3532",0
"Write-In3533","JOYCE D SHEARIN","41","Kings County",1,"Write-In3533",0
"Write-In3534","JULIE HARDY","41","Kings County",1,"Write-In3534",0
"Write-In3535","JUSTIN SANCHEZ","41","Kings County",2,"Write-In3535",0
"Write-In3536","KAITLYN KRAMER","41","Kings County",1,"Write-In3536",0
"Write-In3537","KEVIN TULLY","41","Kings County",2,"Write-In3537",0
"Write-In3538","KHADIJA ASLAM","41","Kings County",1,"Write-In3538",0
"Write-In3539","KIRK OLIVER","41","Kings County",1,"Write-In3539",0
"Write-In3540","KYIR DURANT","41","Kings County",1,"Write-In3540",0
"Write-In3541","LAWMAN LYNCH","41","Kings County",20,"Write-In3541",0
"Write-In3542","LEON TROTSKHY","41","Kings County",1,"Write-In3542",0
"Write-In3543","MARCUS HAYMON","41","Kings County",1,"Write-In3543",0
"Write-In3544","MARK RANSON","41","Kings County",1,"Write-In3544",0
"Write-In3545","MATTHEW A. THOMPSON","41","Kings County",1,"Write-In3545",0
"Write-In3546","MAWULI HORMEKU","41","Kings County",1,"Write-In3546",0
"Write-In3547","MEGAN REYNOLDS","41","Kings County",1,"Write-In3547",0
"Write-In3548","MICHAEL HOLLINGSWORTH","41","Kings County",1,"Write-In3548",0
"Write-In3549","MICHAEL SOUTHWORTH","41","Kings County",1,"Write-In3549",0
"Write-In3550","MICHAEL WRIGHT","41","Kings County",1,"Write-In3550",0
"Write-In3551","MICHELLE WILLIAMS","41","Kings County",1,"Write-In3551",0
"Write-In3552","MYRA HORAND","41","Kings County",1,"Write-In3552",0
"Write-In3553","NICOLE BROWN","41","Kings County",1,"Write-In3553",0
"Write-In3554","NICOLE CHAVIS-JACKSON","41","Kings County",1,"Write-In3554",0
"Write-In3555","OLIVIA ROOKS","41","Kings County",1,"Write-In3555",0
"Write-In3556","PABLITOS ORTIZ","41","Kings County",1,"Write-In3556",0
"Write-In3557","POOJA FODUAN","41","Kings County",1,"Write-In3557",0
"Write-In3558","RICHARD KIM","41","Kings County",1,"Write-In3558",0
"Write-In3559","SANDY NURSE","41","Kings County",1,"Write-In3559",0
"Write-In3560","SEAN KENNEDY","41","Kings County",1,"Write-In3560",0
"Write-In3561","STANLEY JOHNSON","41","Kings County",1,"Write-In3561",0
"Write-In3562","THOMAS SIMMS","41","Kings County",1,"Write-In3562",0
"Write-In3563","TIMOTHY JOEL AVERY","41","Kings County",1,"Write-In3563",0
"Write-In3564","UNATTRIBUTABLE WRITE-IN","41","Kings County",56,"Write-In3564",0
"Write-In3565","VIRGINIA MALONEY","41","Kings County",1,"Write-In3565",0
"Write-In3566","VLADIMIR LENIN","41","Kings County",1,"Write-In3566",0
"Write-In3567","ZOHRAN KWAME MAMDANI","41","Kings County",1,"Write-In3567",0
"Write-In3568","ANA FISCHER","42","Kings County",1,"Write-In3568",0
"Write-In3569","CRYSTAL HUDSON","42","Kings County",2,"Write-In3569",0
"Write-In3570","JASMINE ORTIZ","42","Kings County",1,"Write-In3570",0
"Write-In3571","JIMMY GUITY","42","Kings County",1,"Write-In3571",0
"Write-In3572","JOHN SMITH","42","Kings County",1,"Write-In3572",0
"Write-In3573","JOYCE SCOTT-BEAYBAY","42","Kings County",3,"Write-In3573",0
"Write-In3574","KEVON ALLEYNE","42","Kings County",3,"Write-In3574",0
"Write-In3575","MANUEL L RAMOS","42","Kings County",1,"Write-In3575",0
"Write-In3576","RASHID ALLEN","42","Kings County",1,"Write-In3576",0
"Write-In3577","SANDY NURSE","42","Kings County",1,"Write-In3577",0
"Write-In3578","SKIBOKY STORA","42","Kings County",1,"Write-In3578",0
"Write-In3579","TANYA COVINGTON","42","Kings County",1,"Write-In3579",0
"Write-In3580","TERRELL BELFIELD","42","Kings County",3,"Write-In3580",0
"Write-In3581","UNATTRIBUTABLE WRITE-IN","42","Kings County",25,"Write-In3581",0
"Write-In3582","ABDULLAH MUBAREZ","43","Kings County",1,"Write-In3582",0
"Write-In3583","ACE FREHLEY","43","Kings County",1,"Write-In3583",0
"Write-In3584","AL- HAKIYM WILLIAMS","43","Kings County",1,"Write-In3584",0
"Write-In3585","ALEXA AVILES","43","Kings County",4,"Write-In3585",0
"Write-In3586","ALEXIS VIGO","43","Kings County",1,"Write-In3586",0
"Write-In3587","ANAS AL-SHARIF","43","Kings County",1,"Write-In3587",0
"Write-In3588","ANDREW M. CUOMO","43","Kings County",1,"Write-In3588",0
"Write-In3589","ANTHONY PINZIO","43","Kings County",1,"Write-In3589",0
"Write-In3590","ANTON GOFMAN","43","Kings County",1,"Write-In3590",0
"Write-In3591","ANTOUELLA DAVI","43","Kings County",1,"Write-In3591",0
"Write-In3592","BELLA ABZENG","43","Kings County",1,"Write-In3592",0
"Write-In3593","BILL CLINTON","43","Kings County",1,"Write-In3593",0
"Write-In3594","BORVCH LAPP","43","Kings County",1,"Write-In3594",0
"Write-In3595","BRITTANY CURCIO","43","Kings County",1,"Write-In3595",0
"Write-In3596","CHIP TSA","43","Kings County",1,"Write-In3596",0
"Write-In3597","CHRISTOPHER ROBERTO","43","Kings County",1,"Write-In3597",0
"Write-In3598","CURTIS A. SLIWA","43","Kings County",9,"Write-In3598",0
"Write-In3599","DAVE JACOBS","43","Kings County",1,"Write-In3599",0
"Write-In3600","DAVID DIORIO","43","Kings County",1,"Write-In3600",0
"Write-In3601","DAVID E JOHNSON","43","Kings County",1,"Write-In3601",0
"Write-In3602","DAVID LOGAN","43","Kings County",1,"Write-In3602",0
"Write-In3603","DEE FANG","43","Kings County",1,"Write-In3603",0
"Write-In3604","DIANE LAPP","43","Kings County",1,"Write-In3604",0
"Write-In3605","DONALD J TRUMP","43","Kings County",3,"Write-In3605",0
"Write-In3606","DONALD J. TRUMP","43","Kings County",1,"Write-In3606",0
"Write-In3607","DONALD TRUMP JR","43","Kings County",1,"Write-In3607",0
"Write-In3608","DOUGLAS FIRESTONE","43","Kings County",1,"Write-In3608",0
"Write-In3609","ERIC L. ADAMS","43","Kings County",1,"Write-In3609",0
"Write-In3610","FILIPPE GALLO","43","Kings County",1,"Write-In3610",0
"Write-In3611","FRANK GRAMGNA","43","Kings County",1,"Write-In3611",0
"Write-In3612","GAELEN HADLETT","43","Kings County",1,"Write-In3612",0
"Write-In3613","GEORGE SARANTOPOULOS","43","Kings County",3,"Write-In3613",0
"Write-In3614","GITTA GANEFRIED","43","Kings County",1,"Write-In3614",0
"Write-In3615","GRACE LEE BOGGS","43","Kings County",1,"Write-In3615",0
"Write-In3616","HATSUNE MIKIN","43","Kings County",1,"Write-In3616",0
"Write-In3617","HENRY WILLIAMS","43","Kings County",1,"Write-In3617",0
"Write-In3618","HESHY TISCHLER","43","Kings County",2,"Write-In3618",0
"Write-In3619","IRIS WANG","43","Kings County",1,"Write-In3619",0
"Write-In3620","IWEN CHU","43","Kings County",4,"Write-In3620",0
"Write-In3621","JACOB SHAVI BRAVER","43","Kings County",1,"Write-In3621",0
"Write-In3622","JACQUELINE FREZZA","43","Kings County",1,"Write-In3622",0
"Write-In3623","JEFFERY WAN","43","Kings County",1,"Write-In3623",0
"Write-In3624","JEFFREY LIEW","43","Kings County",2,"Write-In3624",0
"Write-In3625","JERRY CHAN","43","Kings County",2,"Write-In3625",0
"Write-In3626","JESSICA REINHARDT","43","Kings County",1,"Write-In3626",0
"Write-In3627","JIMMY LAI","43","Kings County",2,"Write-In3627",0
"Write-In3628","JOE HUANG","43","Kings County",1,"Write-In3628",0
"Write-In3629","JOE ROGAN","43","Kings County",1,"Write-In3629",0
"Write-In3630","JOHN C THOMAS","43","Kings County",1,"Write-In3630",0
"Write-In3631","JOHN PASTURE","43","Kings County",1,"Write-In3631",0
"Write-In3632","JOHN TRAVOLTA","43","Kings County",1,"Write-In3632",0
"Write-In3633","JONAS CHAN","43","Kings County",1,"Write-In3633",0
"Write-In3634","JOSEPH GOLD","43","Kings County",1,"Write-In3634",0
"Write-In3635","JUMA SHAVL BRAVER","43","Kings County",1,"Write-In3635",0
"Write-In3636","KAYLA SANTOSUOSSO","43","Kings County",2,"Write-In3636",0
"Write-In3637","KIERAN MCNAMARA","43","Kings County",1,"Write-In3637",0
"Write-In3638","LINDA SARSOOT","43","Kings County",1,"Write-In3638",0
"Write-In3639","LIZ CHENEY","43","Kings County",1,"Write-In3639",0
"Write-In3640","LOLA QUIGLEY","43","Kings County",1,"Write-In3640",0
"Write-In3641","LUCA GAJOVICH","43","Kings County",1,"Write-In3641",0
"Write-In3642","LUIS E. QUERO","43","Kings County",2,"Write-In3642",0
"Write-In3643","MARCO ANTONIO ERNCO","43","Kings County",2,"Write-In3643",0
"Write-In3644","MARCO ANTONIO ERRICO","43","Kings County",1,"Write-In3644",0
"Write-In3645","MARK TREYGER","43","Kings County",2,"Write-In3645",0
"Write-In3646","MARTY DOLAN","43","Kings County",1,"Write-In3646",0
"Write-In3647","MAX LUGIN","43","Kings County",1,"Write-In3647",0
"Write-In3648","MEGAN DIMOTTA","43","Kings County",1,"Write-In3648",0
"Write-In3649","MICHAEL CHIU","43","Kings County",1,"Write-In3649",0
"Write-In3650","MIKE HALE","43","Kings County",1,"Write-In3650",0
"Write-In3651","MIKE TYSON","43","Kings County",1,"Write-In3651",0
"Write-In3652","MINA ABUSAHE","43","Kings County",1,"Write-In3652",0
"Write-In3653","MONSIGNOR DAVID CASSATO","43","Kings County",2,"Write-In3653",0
"Write-In3654","NAFBALY ASHLEY","43","Kings County",1,"Write-In3654",0
"Write-In3655","OLGA YELISAROV","43","Kings County",1,"Write-In3655",0
"Write-In3656","PETE ALONZO","43","Kings County",1,"Write-In3656",0
"Write-In3657","PETER ABATTE","43","Kings County",1,"Write-In3657",0
"Write-In3658","RANDY SOLOMON","43","Kings County",1,"Write-In3658",0
"Write-In3659","RIVKA KHOBLOCH","43","Kings County",1,"Write-In3659",0
"Write-In3660","ROBERT GORDON","43","Kings County",1,"Write-In3660",0
"Write-In3661","ROBERT INGRISANO","43","Kings County",1,"Write-In3661",0
"Write-In3662","ROMAN SOKOLENKO","43","Kings County",2,"Write-In3662",0
"Write-In3663","RUDY GIULIANI","43","Kings County",3,"Write-In3663",0
"Write-In3664","RUSSELL LUBIN","43","Kings County",1,"Write-In3664",0
"Write-In3665","SAMANTHA FOX","43","Kings County",1,"Write-In3665",0
"Write-In3666","SARAH K RENZETT","43","Kings County",1,"Write-In3666",0
"Write-In3667","SARAH TAG","43","Kings County",1,"Write-In3667",0
"Write-In3668","SARANTOS G. SAUMAKIS","43","Kings County",3,"Write-In3668",0
"Write-In3669","SCOTT KLEIN","43","Kings County",1,"Write-In3669",0
"Write-In3670","SHEKAR KRISHNAN","43","Kings County",1,"Write-In3670",0
"Write-In3671","SID ROSENBERG","43","Kings County",1,"Write-In3671",0
"Write-In3672","SIMCHA FELDER","43","Kings County",6,"Write-In3672",0
"Write-In3673","SONIA VALENTIN","43","Kings County",1,"Write-In3673",0
"Write-In3674","STEPHAN KONG","43","Kings County",1,"Write-In3674",0
"Write-In3675","STEVEN H. RICHMOND","43","Kings County",1,"Write-In3675",0
"Write-In3676","STEVEN PATZER","43","Kings County",1,"Write-In3676",0
"Write-In3677","SUSAN FANG","43","Kings County",1,"Write-In3677",0
"Write-In3678","SUSAN SWINE","43","Kings County",1,"Write-In3678",0
"Write-In3679","ULYSSES SORIANO","43","Kings County",1,"Write-In3679",0
"Write-In3680","UNATTRIBUTABLE WRITE-IN","43","Kings County",94,"Write-In3680",0
"Write-In3681","VERNON DEMIR","43","Kings County",1,"Write-In3681",0
"Write-In3682","VICENT PINELLO","43","Kings County",1,"Write-In3682",0
"Write-In3683","VILMA REINHARDT","43","Kings County",1,"Write-In3683",0
"Write-In3684","VINCENT DE PAUL","43","Kings County",1,"Write-In3684",0
"Write-In3685","VINCENT LOVAGLIO","43","Kings County",1,"Write-In3685",0
"Write-In3686","VINCENZO SUSI","43","Kings County",1,"Write-In3686",0
"Write-In3687","VLAD MAYSOU","43","Kings County",1,"Write-In3687",0
"Write-In3688","WAI YEE CHAN","43","Kings County",1,"Write-In3688",0
"Write-In3689","WAIYEE CHAN","43","Kings County",1,"Write-In3689",0
"Write-In3690","WINNIE WOO","43","Kings County",1,"Write-In3690",0
"Write-In3691","YANKY BRAUN","43","Kings County",1,"Write-In3691",0
"Write-In3692","YING TAN","43","Kings County",2,"Write-In3692",0
"Write-In3693","YITZCHOK RUBNITZ","43","Kings County",1,"Write-In3693",0
"Write-In3694","ZACH BUAZOV","43","Kings County",1,"Write-In3694",0
"Write-In3695","ZOHRAN KWAME MAMDANI","43","Kings County",1,"Write-In3695",0
"Write-In3696","ADAM GUZA","44","Kings County",1,"Write-In3696",0
"Write-In3697","AHMAD KHATER","44","Kings County",1,"Write-In3697",0
"Write-In3698","AIN UD MILVADO","44","Kings County",1,"Write-In3698",0
"Write-In3699","AMIN YAKUHOV","44","Kings County",1,"Write-In3699",0
"Write-In3700","ANDREW M. CUOMO","44","Kings County",1,"Write-In3700",0
"Write-In3701","ASIR ALI KHAN","44","Kings County",1,"Write-In3701",0
"Write-In3702","BARACK OBAMA","44","Kings County",1,"Write-In3702",0
"Write-In3703","BENNY ARYEH","44","Kings County",1,"Write-In3703",0
"Write-In3704","BERNIE SANDERS","44","Kings County",2,"Write-In3704",0
"Write-In3705","BRAD LANDER","44","Kings County",1,"Write-In3705",0
"Write-In3706","CHANA STROM","44","Kings County",1,"Write-In3706",0
"Write-In3707","CHANANYA GLICK","44","Kings County",1,"Write-In3707",0
"Write-In3708","CHI AJANI OSSE","44","Kings County",1,"Write-In3708",0
"Write-In3709","CONSTANTINE KOKKORIS","44","Kings County",1,"Write-In3709",0
"Write-In3710","CRYSTAL HUDSON","44","Kings County",1,"Write-In3710",0
"Write-In3711","DICK CHANEY","44","Kings County",1,"Write-In3711",0
"Write-In3712","EDUARD ELRIC","44","Kings County",1,"Write-In3712",0
"Write-In3713","FIAMMA EASON","44","Kings County",1,"Write-In3713",0
"Write-In3714","GABRIELLA AQUNO","44","Kings County",1,"Write-In3714",0
"Write-In3715","GANEZ TAL KFAR DAROM","44","Kings County",1,"Write-In3715",0
"Write-In3716","GERGORY A FISHER","44","Kings County",1,"Write-In3716",0
"Write-In3717","GREGG REIN","44","Kings County",1,"Write-In3717",0
"Write-In3718","GREGORY FISCHER","44","Kings County",1,"Write-In3718",0
"Write-In3719","HAIM KONTONOVITCH","44","Kings County",1,"Write-In3719",0
"Write-In3720","HAMZA A. HUSSAIN","44","Kings County",1,"Write-In3720",0
"Write-In3721","HENDRICK STARK","44","Kings County",1,"Write-In3721",0
"Write-In3722","HERSHY DEMBITZER","44","Kings County",1,"Write-In3722",0
"Write-In3723","HESHIE JAKOBOVITS","44","Kings County",1,"Write-In3723",0
"Write-In3724","HIND RAJAB","44","Kings County",1,"Write-In3724",0
"Write-In3725","INNA VERNIKOV","44","Kings County",1,"Write-In3725",0
"Write-In3726","ISABELA LI","44","Kings County",1,"Write-In3726",0
"Write-In3727","JACOB SCHIFF","44","Kings County",1,"Write-In3727",0
"Write-In3728","JASON SCHAPIRO","44","Kings County",1,"Write-In3728",0
"Write-In3729","JEFFERY MEDAN","44","Kings County",1,"Write-In3729",0
"Write-In3730","JIM KRUGER","44","Kings County",1,"Write-In3730",0
"Write-In3731","JULIAN CASABLANCAS","44","Kings County",1,"Write-In3731",0
"Write-In3732","KAYLA SANTOSUOSSO","44","Kings County",2,"Write-In3732",0
"Write-In3733","KENDRICK LAMAR","44","Kings County",1,"Write-In3733",0
"Write-In3734","KIM FALVEY","44","Kings County",1,"Write-In3734",0
"Write-In3735","LEBRON JAMES","44","Kings County",1,"Write-In3735",0
"Write-In3736","LEBRON RAYMORE JAMES SR.","44","Kings County",1,"Write-In3736",0
"Write-In3737","LESLIE KNOPE","44","Kings County",1,"Write-In3737",0
"Write-In3738","LESLIE MICHUR","44","Kings County",1,"Write-In3738",0
"Write-In3739","LI BAI","44","Kings County",1,"Write-In3739",0
"Write-In3740","LUCIAN FRAZIER","44","Kings County",1,"Write-In3740",0
"Write-In3741","MARCIN POSTRYGALE","44","Kings County",1,"Write-In3741",0
"Write-In3742","MARIAH CAREY","44","Kings County",1,"Write-In3742",0
"Write-In3743","MARK GROSSMAN","44","Kings County",1,"Write-In3743",0
"Write-In3744","MELVN GIRSHEK","44","Kings County",1,"Write-In3744",0
"Write-In3745","MENACHEM AUERBACH","44","Kings County",1,"Write-In3745",0
"Write-In3746","MICHELLE RANDALL","44","Kings County",1,"Write-In3746",0
"Write-In3747","MOSHE BRADY","44","Kings County",1,"Write-In3747",0
"Write-In3748","MUYINJON TUROBOV","44","Kings County",1,"Write-In3748",0
"Write-In3749","NATHANIEL TECOCOATAI","44","Kings County",1,"Write-In3749",0
"Write-In3750","OMAR ZIN","44","Kings County",1,"Write-In3750",0
"Write-In3751","PAUL DANN","44","Kings County",1,"Write-In3751",0
"Write-In3752","PAUL LIVANT","44","Kings County",2,"Write-In3752",0
"Write-In3753","PEARL REIDEL","44","Kings County",1,"Write-In3753",0
"Write-In3754","RICHARD COWETEN","44","Kings County",1,"Write-In3754",0
"Write-In3755","ROSARIO MARY NICHOLSON","44","Kings County",1,"Write-In3755",0
"Write-In3756","SAAD AHMED SABRI","44","Kings County",1,"Write-In3756",0
"Write-In3757","SAMANTHA PATTERSON","44","Kings County",1,"Write-In3757",0
"Write-In3758","SAMELA HOSSAIN","44","Kings County",1,"Write-In3758",0
"Write-In3759","SHAKLEZ AMONOV","44","Kings County",1,"Write-In3759",0
"Write-In3760","SHELDON TRAUBE","44","Kings County",1,"Write-In3760",0
"Write-In3761","SHIJAH MALHI","44","Kings County",1,"Write-In3761",0
"Write-In3762","SHLOMO STERN","44","Kings County",1,"Write-In3762",0
"Write-In3763","STEPHON ZAKSZEWSKI","44","Kings County",1,"Write-In3763",0
"Write-In3764","STEVE TAM","44","Kings County",1,"Write-In3764",0
"Write-In3765","STEVEN MCAFEE","44","Kings County",1,"Write-In3765",0
"Write-In3766","SUSAN ZHUANG","44","Kings County",2,"Write-In3766",0
"Write-In3767","TARDIS JOHNSON","44","Kings County",2,"Write-In3767",0
"Write-In3768","TUCKER CARLSON","44","Kings County",1,"Write-In3768",0
"Write-In3769","UNATTRIBUTABLE WRITE-IN","44","Kings County",67,"Write-In3769",0
"Write-In3770","WILLIAM SCHNEID","44","Kings County",3,"Write-In3770",0
"Write-In3771","WILLIAMS CLORI AYTA","44","Kings County",1,"Write-In3771",0
"Write-In3772","WOLF STEINMET","44","Kings County",1,"Write-In3772",0
"Write-In3773","YAAKOV BLACK","44","Kings County",1,"Write-In3773",0
"Write-In3774","YAHYA SINWAR","44","Kings County",1,"Write-In3774",0
"Write-In3775","YAKON ARYE SCIAPIRO","44","Kings County",1,"Write-In3775",0
"Write-In3776","YAKOV WEISS","44","Kings County",1,"Write-In3776",0
"Write-In3777","YASSER ARAFAT","44","Kings County",1,"Write-In3777",0
"Write-In3778","YUKSEL OSCAR","44","Kings County",1,"Write-In3778",0
"Write-In3779","ZAHARA DURCHIN","44","Kings County",1,"Write-In3779",0
"Write-In3780","ZOHRAN KWAME MAMDANI","44","Kings County",2,"Write-In3780",0
"Write-In3781","ALAN FINTZ","45","Kings County",1,"Write-In3781",0
"Write-In3782","ANDREA ALEXANDER","45","Kings County",1,"Write-In3782",0
"Write-In3783","ANDREA LETT","45","Kings County",1,"Write-In3783",0
"Write-In3784","ANDREW M. CUOMO","45","Kings County",1,"Write-In3784",0
"Write-In3785","ARLENE IRVIN","45","Kings County",1,"Write-In3785",0
"Write-In3786","ARTHUR FELLMAN","45","Kings County",1,"Write-In3786",0
"Write-In3787","ATHENA A. CLARKE","45","Kings County",1,"Write-In3787",0
"Write-In3788","BENNY ROSENBERGER","45","Kings County",1,"Write-In3788",0
"Write-In3789","BRAD LANDER","45","Kings County",1,"Write-In3789",0
"Write-In3790","CHANTAL HINDS","45","Kings County",1,"Write-In3790",0
"Write-In3791","CURTIS A. SLIWA","45","Kings County",1,"Write-In3791",0
"Write-In3792","DAVID ARNOW","45","Kings County",1,"Write-In3792",0
"Write-In3793","DEBORAH LORBER","45","Kings County",1,"Write-In3793",0
"Write-In3794","DIMPLE WILLABUS","45","Kings County",1,"Write-In3794",0
"Write-In3795","DONALD J. TRUMP","45","Kings County",1,"Write-In3795",0
"Write-In3796","ELON MUSK","45","Kings County",1,"Write-In3796",0
"Write-In3797","ER EASERBASA","45","Kings County",1,"Write-In3797",0
"Write-In3798","ERIQUE WATERMAN","45","Kings County",1,"Write-In3798",0
"Write-In3799","ERNEST SKINNER","45","Kings County",1,"Write-In3799",0
"Write-In3800","EUGENE DEBS","45","Kings County",1,"Write-In3800",0
"Write-In3801","HANNAH KLEIN","45","Kings County",1,"Write-In3801",0
"Write-In3802","HARRY WALTZ","45","Kings County",1,"Write-In3802",0
"Write-In3803","HELEN KLEIN","45","Kings County",1,"Write-In3803",0
"Write-In3804","HESHY TISCHLER","45","Kings County",2,"Write-In3804",0
"Write-In3805","INNA VERNIKOV","45","Kings County",1,"Write-In3805",0
"Write-In3806","JACK ROBERTSON","45","Kings County",1,"Write-In3806",0
"Write-In3807","JACKIE CHAN","45","Kings County",2,"Write-In3807",0
"Write-In3808","JACOB ZUCKER","45","Kings County",1,"Write-In3808",0
"Write-In3809","JAMES MCCORMACK","45","Kings County",1,"Write-In3809",0
"Write-In3810","JOHN D MATTHEW","45","Kings County",1,"Write-In3810",0
"Write-In3811","JUDY KIM","45","Kings County",1,"Write-In3811",0
"Write-In3812","KEENA HUMPHREY","45","Kings County",1,"Write-In3812",0
"Write-In3813","LEO NAMUCHE","45","Kings County",2,"Write-In3813",0
"Write-In3814","LORETTA TERRANOVA","45","Kings County",1,"Write-In3814",0
"Write-In3815","LOUIS CESPEDES","45","Kings County",1,"Write-In3815",0
"Write-In3816","MANUEL WON","45","Kings County",1,"Write-In3816",0
"Write-In3817","MARYAN BARGHOVTI","45","Kings County",1,"Write-In3817",0
"Write-In3818","MERCEDES NARCISSE","45","Kings County",4,"Write-In3818",0
"Write-In3819","MOSHE ARYEH FOGEL","45","Kings County",1,"Write-In3819",0
"Write-In3820","NAN DWEEK","45","Kings County",1,"Write-In3820",0
"Write-In3821","NAZROL ISLAM","45","Kings County",1,"Write-In3821",0
"Write-In3822","NEIL MALONE","45","Kings County",1,"Write-In3822",0
"Write-In3823","PIERINA SANCHEZ","45","Kings County",1,"Write-In3823",0
"Write-In3824","RUTH WILSON GILMORE","45","Kings County",1,"Write-In3824",0
"Write-In3825","SAGGIT GABAY","45","Kings County",1,"Write-In3825",0
"Write-In3826","SHAWN ELYSE CAMPBELL","45","Kings County",1,"Write-In3826",0
"Write-In3827","SHIMON KATZ","45","Kings County",1,"Write-In3827",0
"Write-In3828","SHUREL ZAND","45","Kings County",1,"Write-In3828",0
"Write-In3829","SIDDHARTHA GAUTAMA","45","Kings County",1,"Write-In3829",0
"Write-In3830","SIMCHA FELDER","45","Kings County",19,"Write-In3830",0
"Write-In3831","TRACY NEIMAN","45","Kings County",1,"Write-In3831",0
"Write-In3832","TROY THOMPSON","45","Kings County",1,"Write-In3832",0
"Write-In3833","UNATTRIBUTABLE WRITE-IN","45","Kings County",40,"Write-In3833",0
"Write-In3834","VAMCE D MERRICK JR","45","Kings County",1,"Write-In3834",0
"Write-In3835","YEHUDA FOLLMAN","45","Kings County",1,"Write-In3835",0
"Write-In3836","YISACHER FELDBERG","45","Kings County",1,"Write-In3836",0
"Write-In3837","YUELLE SERLE","45","Kings County",1,"Write-In3837",0
"Write-In3838","AURAHAM WOLFSON","46","Kings County",1,"Write-In3838",0
"Write-In3839","BERNIE SANDERS","46","Kings County",1,"Write-In3839",0
"Write-In3840","BRIAN GOMEZ","46","Kings County",1,"Write-In3840",0
"Write-In3841","CHAIM M HIRSCHEL","46","Kings County",1,"Write-In3841",0
"Write-In3842","HATEM EL-GAMASY","46","Kings County",1,"Write-In3842",0
"Write-In3843","INNA VERNIKOV","46","Kings County",3,"Write-In3843",0
"Write-In3844","JACOB KLEIN","46","Kings County",1,"Write-In3844",0
"Write-In3845","JOHN A HARAN","46","Kings County",1,"Write-In3845",0
"Write-In3846","JOSH HART","46","Kings County",1,"Write-In3846",0
"Write-In3847","JUDY NEWTON","46","Kings County",1,"Write-In3847",0
"Write-In3848","KOJO PILGRIM","46","Kings County",1,"Write-In3848",0
"Write-In3849","KYLE MILOVANOV","46","Kings County",1,"Write-In3849",0
"Write-In3850","MARK BASS","46","Kings County",1,"Write-In3850",0
"Write-In3851","NANCY MA","46","Kings County",1,"Write-In3851",0
"Write-In3852","NAVREEN HAMEED","46","Kings County",1,"Write-In3852",0
"Write-In3853","NICHOLAS AUYANG","46","Kings County",1,"Write-In3853",0
"Write-In3854","OLUBUNMI FASHESI","46","Kings County",1,"Write-In3854",0
"Write-In3855","ORIKI AGHDGHOVBIA","46","Kings County",1,"Write-In3855",0
"Write-In3856","ROBERT FARULA","46","Kings County",1,"Write-In3856",0
"Write-In3857","SIMCHA FELDER","46","Kings County",10,"Write-In3857",0
"Write-In3858","STACY GREENE","46","Kings County",1,"Write-In3858",0
"Write-In3859","STEVEN FRUCKLER","46","Kings County",1,"Write-In3859",0
"Write-In3860","TOM MONAHAN","46","Kings County",1,"Write-In3860",0
"Write-In3861","UNATTRIBUTABLE WRITE-IN","46","Kings County",33,"Write-In3861",0
"Write-In3862","ZOHRAN KWAME MAMDANI","46","Kings County",1,"Write-In3862",0
"Write-In3863","ADRA TOTINO","47","Kings County",1,"Write-In3863",0
"Write-In3864","ANDY HIDRA","47","Kings County",1,"Write-In3864",0
"Write-In3865","ANTONIO REYNOSO","47","Kings County",1,"Write-In3865",0
"Write-In3866","ARI KAGAN","47","Kings County",5,"Write-In3866",0
"Write-In3867","ATHENA A. CLARKE","47","Kings County",1,"Write-In3867",0
"Write-In3868","ATHENA V. STEVENS","47","Kings County",1,"Write-In3868",0
"Write-In3869","CHRISTIAN PEREZ","47","Kings County",1,"Write-In3869",0
"Write-In3870","CHRISTOPHER DIPIA","47","Kings County",1,"Write-In3870",0
"Write-In3871","DON BASS","47","Kings County",1,"Write-In3871",0
"Write-In3872","ERIC L. ADAMS","47","Kings County",1,"Write-In3872",0
"Write-In3873","GIGI NEGLIAN","47","Kings County",1,"Write-In3873",0
